Shoulder Angles,102.61641219239422,168.63615877530628,150.05158016450784,31.37984446776086,-62.47731156054108,-58.13034988587268,1.2688966290418948,116.818257906058,173.37600949107213,84.93036285650838,-3.5285195266490614,-63.29292199753092,18.658232842958416,145.75889313597634,126.66782447219377,8.605355729116136,-65.29229515973545
Leg Angles,13.878443244929265,27.57551574763179,41.22474972824697,15.808198179704199,54.49666138878844,14.531938741037846,49.889165834494555,17.83598508525726,36.65189909328974,50.91302736936831
Neck Angles Mediapipe,140.0254241761919,169.60801839111005,261.0641839012527,268.25593079568915,84.86071337370754,81.16564237673376,117.93313603032801,149.21422037286845,229.559707356634,130.22400684514167,111.0220658552573,131.96573150707673,131.97109027125887

Neck Angles Mediapipe,140.0254241761919,169.60801839111005,261.0641839012527,268.25593079568915,84.86071337370754,81.16564237673376,117.93313603032801,149.21422037286845
